,ID,Museum.specific.ID,Museum,Region,Site,Country.of.site,Specimen.collection.no.,Assemblage.layer.no.,Contextual.information,Preservation,Raw.material,Length..mm.,Width..mm.,Thickness..mm.,Site.1,Photograph.names,Edited.photo.name,Researcher.initials..photo.,Researcher.initials..measurements.,Supplementary.information,LT.notes,Assemblage_2,Min.age,Mid.age,Max.age,N,E
11,784,160,NME,East,Porc Epic,Ethiopia,2135,08N-07W (150-160),Excavated ,Complete,Chert,55.1,28.9,10.6,Porc Epic,"IMG_7482,7483,7484,7485,7486",E_point_109,BH,BH,,NA,08N-07W  IIIc,NA,40,NA,9.63,41.87
12,639,15,NME,East,Goda Buticha ,Ethiopia,?,B1b,Excavated ,Complete,Chert,31.5,16.4,3.1,Goda Buticha ,"Image_7076,7077,7078,7079,7080,7081",E_point_11,BH,YT,"Full info in the bag [ B1b, BC-712 x-83, y-86, z-96]",NA,,NA,NA,NA,9.54,41.63
13,785,161,NME,East,Porc Epic,Ethiopia,1250,08N-07W (120-130),Excavated ,Complete,Chert,65,22.6,6.7,Porc Epic,"IMG_7488,7489,7490,7491,7492",E_point_110,BH,BH,,NA,08N-07W  IIIb,NA,40,NA,9.63,41.87
14,788,164,NME,East,Porc Epic,Ethiopia,1266,08N-07W(110-120),Excavated ,Complete,Obsidian,29.7,19.1,6.6,Porc Epic,"IMG_7527,7528,7529,7530",E_point_111,BH,BH,,NA,08N-07W IIIa,NA,40,NA,9.63,41.87
15,789,165,NME,East,Porc Epic,Ethiopia,2317,08N-07W (170-180),Excavated ,Complete,Obsidian,33,23.7,6.8,Porc Epic,"IMG_7532,7533,7534,7535,7536",E_point_112,BH,BH,,NA,08N-07W IIId,NA,40,NA,9.63,41.87
16,791,167,NME,East,Porc Epic,Ethiopia,2132,08N-07W(140-150),Excavated ,Complete,Obsidian,30.2,17.5,6.2,Porc Epic,"IMG_7549,7550,7551,7552",E_point_113,BH,BH,,NA,08N-07W  IIIb,NA,40,NA,9.63,41.87
17,793,169,NME,East,Porc Epic,Ethiopia,1266,08N-07W(110-120),Excavated ,Complete,Basalt,44.1,21.6,9.4,Porc Epic,"IMG_7344,7345,7346,7347",E_point_114,BH,BH,,NA,08N-07W IIIa,NA,40,NA,9.63,41.87
18,795,171,NME,East,Porc Epic,Ethiopia,1165,08N-07W(110-120),Excavated ,Complete,Chert,64.5,25.4,14.5,Porc Epic,"IMG_7339,7340,7341",E_point_116,BH,BH,,NA,08N-07W IIIa,NA,40,NA,9.63,41.87
19,796,172,NME,East,Porc Epic,Ethiopia,1165,08N-07W(110-120),Excavated ,Complete,Basalt,38,20,7,Porc Epic,"IMG_7282,7283,7284,7285",E_point_117,BH,BH,,NA,08N-07W IIIa,NA,40,NA,9.63,41.87
20,797,173,NME,East,Porc Epic,Ethiopia,1250,08N-07W(120-130),Excavated ,Complete,Chert,22.9,16.8,5.7,Porc Epic,"IMG_7559,7560,7561,7562",E_point_118,BH,BH,,NA,08N-07W  IIIb,NA,40,NA,9.63,41.87
21,800,176,NME,East,Porc Epic,Ethiopia,2323,08N-07W (180-190),Excavated ,Complete,Basalt,54,31.3,9,Porc Epic,"IMG_7238, 7239,7240,7241",E_point_119,BH,BH,,NA,08N-07W IIId,NA,40,NA,9.63,41.87
22,640,16,NME,East,Goda Buticha ,Ethiopia,?,B1d,Excavated ,Complete,Basalt,56.8,19.6,6,Goda Buticha ,"Image_7060,7061,7062,7063",E_point_12,BH,YT,"Ful info in the bag [B1d light orange basalt PT x-20, y-82,z-47 ",NA,,NA,NA,NA,9.54,41.63
23,801,177,NME,East,Porc Epic,Ethiopia,2130,08N-07W (140-150),Excavated ,Complete,Obsidian,29.5,18.5,6.8,Porc Epic,"IMG_7564,7565,7566,7567",E_point_120,BH,BH,,NA,08N-07W  IIIb,NA,40,NA,9.63,41.87
24,803,2,NMK,East,Kapthurin Formation,Kenya,1349/3346,GnJh-15,Paleosol lying immediately below base of K4,Complete,Basalt,44.4,34.5,12.3,Kapthurin Formation,"DSC_0155,DSC_0156",E_point_121,SM,CM,,NA,GnJh-15,396,431,465,0.52,35.9
25,804,3,NMK,East,Kapthurin Formation,Kenya,1645/3346,GnJh-15 ,Paleosol lying immediately below base of K4,Complete,Basalt,18.2,8.5,5.2,Kapthurin Formation,"DSC-0157,DSC_0158",E_point_122,SM,CM,,NA,GnJh-15,396,431,465,0.52,35.9
